Hz,dBm
1.100520000E+07,-9.50000E+01
1.100520000E+07,-8.89209E+01
1.104500000E+07,-9.80457E+01
1.104500000E+07,-9.04590E+01
1.108480000E+07,-1.00603E+02
1.108480000E+07,-8.90430E+01
1.112460000E+07,-9.85004E+01
1.112460000E+07,-8.92963E+01
1.116440000E+07,-9.44324E+01
1.116440000E+07,-8.77673E+01
1.120420000E+07,-9.62756E+01
1.120420000E+07,-9.00378E+01
1.124400000E+07,-9.68799E+01
1.124400000E+07,-8.79688E+01
1.128380000E+07,-1.01290E+02
1.128380000E+07,-8.71570E+01
1.132360000E+07,-9.88696E+01
1.132360000E+07,-8.90338E+01
1.136340000E+07,-9.57812E+01
1.136340000E+07,-8.84814E+01
1.140320000E+07,-9.79785E+01
1.140320000E+07,-8.98090E+01
1.144300000E+07,-9.98279E+01
1.144300000E+07,-8.94092E+01
1.148280000E+07,-9.81830E+01
1.148280000E+07,-9.02240E+01
1.152260000E+07,-9.98981E+01
1.152260000E+07,-8.88324E+01
1.156240000E+07,-1.00542E+02
1.156240000E+07,-9.07458E+01
1.160220000E+07,-9.76001E+01
1.160220000E+07,-8.85852E+01
1.164200000E+07,-9.60010E+01
1.164200000E+07,-8.69342E+01
1.168180000E+07,-9.76184E+01
1.168180000E+07,-8.86890E+01
1.172160000E+07,-9.88605E+01
1.172160000E+07,-9.02759E+01
1.176140000E+07,-9.81738E+01
1.176140000E+07,-9.04315E+01
1.180120000E+07,-9.76947E+01
1.180120000E+07,-9.04224E+01
1.184100000E+07,-9.76215E+01
1.184100000E+07,-8.90948E+01
1.188080000E+07,-9.51892E+01
1.188080000E+07,-8.92383E+01
1.192060000E+07,-9.70996E+01
1.192060000E+07,-8.75720E+01
1.196040000E+07,-9.61902E+01
1.196040000E+07,-8.79962E+01
1.200020000E+07,-9.62329E+01
1.200020000E+07,-8.98730E+01
1.204000000E+07,-9.93274E+01
1.204000000E+07,-8.81793E+01
1.207980000E+07,-9.68005E+01
1.207980000E+07,-8.81488E+01
1.211960000E+07,-9.63031E+01
1.211960000E+07,-8.69617E+01
1.215940000E+07,-9.85919E+01
1.215940000E+07,-8.85303E+01
1.219920000E+07,-9.79724E+01
1.219920000E+07,-8.81427E+01
1.223900000E+07,-9.63031E+01
1.223900000E+07,-8.80573E+01
1.227880000E+07,-9.76245E+01
1.227880000E+07,-9.06573E+01
1.231860000E+07,-1.00087E+02
1.231860000E+07,-8.80084E+01
1.235840000E+07,-9.81158E+01
1.235840000E+07,-9.03461E+01
1.239820000E+07,-9.60651E+01
1.239820000E+07,-8.87897E+01
1.243800000E+07,-9.57782E+01
1.243800000E+07,-8.91833E+01
1.247780000E+07,-9.69989E+01
1.247780000E+07,-8.86035E+01
1.251760000E+07,-9.81799E+01
1.251760000E+07,-8.98151E+01
1.255740000E+07,-9.59735E+01
1.255740000E+07,-8.81091E+01
1.259720000E+07,-1.01461E+02
1.259720000E+07,-9.04620E+01
1.263700000E+07,-9.84180E+01
1.263700000E+07,-9.10754E+01
1.267680000E+07,-1.00850E+02
1.267680000E+07,-8.90918E+01
1.271660000E+07,-9.76520E+01
1.271660000E+07,-8.93512E+01
1.275640000E+07,-9.94403E+01
1.275640000E+07,-8.95068E+01
1.279620000E+07,-9.66357E+01
1.279620000E+07,-9.00470E+01
1.283600000E+07,-9.70691E+01
1.283600000E+07,-9.08527E+01
1.287580000E+07,-9.84302E+01
1.287580000E+07,-8.84692E+01
1.291560000E+07,-9.71393E+01
1.291560000E+07,-8.75140E+01
1.295540000E+07,-9.57721E+01
1.295540000E+07,-8.84082E+01
1.299520000E+07,-9.86133E+01
1.299520000E+07,-9.09412E+01
1.303500000E+07,-1.04293E+02
1.303500000E+07,-9.10266E+01
1.307480000E+07,-9.68250E+01
1.307480000E+07,-8.90857E+01
1.311460000E+07,-1.01216E+02
1.311460000E+07,-8.88995E+01
1.315440000E+07,-9.58911E+01
1.315440000E+07,-8.81885E+01
1.319420000E+07,-9.74597E+01
1.319420000E+07,-8.97266E+01
1.323400000E+07,-9.81281E+01
1.323400000E+07,-8.88751E+01
1.327380000E+07,-9.98370E+01
1.327380000E+07,-8.88171E+01
1.331360000E+07,-9.86377E+01
1.331360000E+07,-8.88202E+01
1.335340000E+07,-9.61963E+01
1.335340000E+07,-8.80084E+01
1.339320000E+07,-9.40265E+01
1.339320000E+07,-8.77582E+01
1.343300000E+07,-9.40723E+01
1.343300000E+07,-8.81885E+01
1.347280000E+07,-9.73987E+01
1.347280000E+07,-8.75598E+01
1.351260000E+07,-9.75879E+01
1.351260000E+07,-8.94458E+01
1.355240000E+07,-9.58972E+01
1.355240000E+07,-8.83838E+01
1.359220000E+07,-1.00316E+02
1.359220000E+07,-8.96106E+01
1.363200000E+07,-9.47284E+01
1.363200000E+07,-8.87256E+01
1.367180000E+07,-9.92542E+01
1.367180000E+07,-8.76697E+01
1.371160000E+07,-9.86194E+01
1.371160000E+07,-8.87439E+01
1.375140000E+07,-9.71820E+01
1.375140000E+07,-8.99768E+01
