Hz,dBm
1.196040000E+07,-8.81885E+01
1.200020000E+07,-9.79266E+01
1.200020000E+07,-9.00439E+01
1.204000000E+07,-9.45605E+01
1.204000000E+07,-8.77917E+01
1.207980000E+07,-9.87476E+01
1.207980000E+07,-9.12219E+01
1.211960000E+07,-9.71729E+01
1.211960000E+07,-8.91071E+01
1.215940000E+07,-9.72583E+01
1.215940000E+07,-8.89117E+01
1.219920000E+07,-9.97455E+01
1.219920000E+07,-9.00623E+01
1.223900000E+07,-9.69379E+01
1.223900000E+07,-8.94977E+01
1.227880000E+07,-9.57874E+01
1.227880000E+07,-8.87469E+01
1.231860000E+07,-9.57660E+01
1.231860000E+07,-8.84143E+01
1.235840000E+07,-1.00359E+02
1.235840000E+07,-8.76788E+01
1.239820000E+07,-9.78229E+01
1.239820000E+07,-8.82098E+01
1.243800000E+07,-9.40906E+01
1.243800000E+07,-8.84174E+01
1.247780000E+07,-9.65594E+01
1.247780000E+07,-8.86981E+01
1.251760000E+07,-9.54364E+01
1.251760000E+07,-8.72150E+01
1.255740000E+07,-9.36786E+01
1.255740000E+07,-8.90216E+01
1.259720000E+07,-9.77008E+01
1.259720000E+07,-9.01843E+01
1.263700000E+07,-1.00362E+02
1.263700000E+07,-8.92017E+01
1.267680000E+07,-9.80151E+01
1.267680000E+07,-8.87805E+01
1.271660000E+07,-9.65198E+01
1.271660000E+07,-8.87836E+01
1.275640000E+07,-9.98096E+01
1.275640000E+07,-8.86035E+01
1.279620000E+07,-9.67151E+01
1.279620000E+07,-8.75964E+01
1.283600000E+07,-9.65320E+01
1.283600000E+07,-8.84418E+01
1.287580000E+07,-1.01866E+02
1.287580000E+07,-8.90613E+01
1.291560000E+07,-1.02278E+02
1.291560000E+07,-8.82068E+01
1.295540000E+07,-9.97699E+01
1.295540000E+07,-8.87775E+01
1.299520000E+07,-9.80701E+01
1.299520000E+07,-8.87042E+01
1.303500000E+07,-9.49969E+01
1.303500000E+07,-8.87317E+01
1.307480000E+07,-9.48871E+01
1.307480000E+07,-8.78406E+01
1.311460000E+07,-9.69989E+01
1.311460000E+07,-8.89148E+01
1.315440000E+07,-9.99377E+01
1.315440000E+07,-8.90582E+01
1.319420000E+07,-9.69135E+01
1.319420000E+07,-8.87164E+01
1.323400000E+07,-9.86835E+01
1.323400000E+07,-8.76147E+01
1.327380000E+07,-9.82471E+01
1.327380000E+07,-9.12128E+01
1.331360000E+07,-9.69165E+01
1.331360000E+07,-8.98059E+01
1.335340000E+07,-9.89581E+01
1.335340000E+07,-8.81152E+01
1.339320000E+07,-9.48169E+01
1.339320000E+07,-8.72089E+01
1.343300000E+07,-9.82135E+01
1.343300000E+07,-8.71844E+01
1.347280000E+07,-9.80609E+01
1.347280000E+07,-8.88782E+01
1.351260000E+07,-9.62909E+01
1.351260000E+07,-8.87531E+01
1.355240000E+07,-9.70721E+01
1.355240000E+07,-8.89484E+01
1.359220000E+07,-9.74048E+01
1.359220000E+07,-9.01569E+01
1.363200000E+07,-9.95929E+01
1.363200000E+07,-8.92932E+01
1.367180000E+07,-9.85248E+01
1.367180000E+07,-8.99066E+01
1.371160000E+07,-9.73834E+01
1.371160000E+07,-8.93298E+01
1.375140000E+07,-9.72736E+01
1.375140000E+07,-8.81580E+01
1.379120000E+07,-9.68372E+01
1.379120000E+07,-8.79626E+01
1.383100000E+07,-9.67578E+01
1.383100000E+07,-8.84540E+01
1.387080000E+07,-9.83752E+01
1.387080000E+07,-8.91284E+01
1.391060000E+07,-9.99133E+01
1.391060000E+07,-8.88019E+01
1.395040000E+07,-9.68738E+01
1.395040000E+07,-8.78253E+01
1.399020000E+07,-9.47925E+01
1.399020000E+07,-8.82343E+01
1.403000000E+07,-9.84210E+01
1.403000000E+07,-8.94061E+01
1.406980000E+07,-9.75360E+01
1.406980000E+07,-8.92810E+01
1.410960000E+07,-9.63367E+01
1.410960000E+07,-8.94031E+01
1.414940000E+07,-9.66968E+01
1.414940000E+07,-8.94397E+01
1.418920000E+07,-9.79785E+01
1.418920000E+07,-8.81824E+01
1.422900000E+07,-9.42065E+01
1.422900000E+07,-8.78192E+01
1.426880000E+07,-9.52838E+01
1.426880000E+07,-8.77917E+01
1.430860000E+07,-9.69897E+01
1.430860000E+07,-8.93481E+01
1.434840000E+07,-9.60803E+01
1.434840000E+07,-8.72241E+01
1.438820000E+07,-9.78290E+01
1.438820000E+07,-9.08099E+01
1.442800000E+07,-9.71393E+01
1.442800000E+07,-8.84448E+01
1.446780000E+07,-9.56683E+01
1.446780000E+07,-8.95435E+01
1.450760000E+07,-9.87079E+01
1.450760000E+07,-8.60736E+01
1.454740000E+07,-9.66632E+01
1.454740000E+07,-8.80298E+01
1.458720000E+07,-9.67029E+01
1.458720000E+07,-8.95099E+01
1.462700000E+07,-9.65808E+01
1.462700000E+07,-9.03430E+01
1.466680000E+07,-9.63885E+01
1.466680000E+07,-8.81763E+01
1.470660000E+07,-9.82135E+01
1.470660000E+07,-8.76483E+01
1.474640000E+07,-9.72461E+01
1.474640000E+07,-9.13715E+01
1.478620000E+07,-9.73590E+01
1.478620000E+07,-8.93512E+01
1.482600000E+07,-9.61993E+01
1.482600000E+07,-8.76941E+01
1.486580000E+07,-9.56348E+01
1.486580000E+07,-8.92291E+01
1.490560000E+07,-9.96509E+01
1.490560000E+07,-8.91040E+01
1.494540000E+07,-9.77283E+01
1.494540000E+07,-8.97693E+01
1.498520000E+07,-1.01396E+02
1.498520000E+07,-9.04346E+01
1.502500000E+07,-9.70691E+01
1.502500000E+07,-8.92352E+01
1.506480000E+07,-9.75970E+01
1.506480000E+07,-8.86157E+01
1.510460000E+07,-9.82776E+01
1.510460000E+07,-8.98120E+01
1.514440000E+07,-9.84515E+01
1.514440000E+07,-9.00928E+01
1.518420000E+07,-9.56561E+01
1.518420000E+07,-8.82861E+01
1.522400000E+07,-9.81097E+01
1.522400000E+07,-8.98120E+01
1.526380000E+07,-9.92419E+01
1.526380000E+07,-8.72577E+01
1.530360000E+07,-1.02593E+02
1.530360000E+07,-8.89819E+01
1.534340000E+07,-1.00652E+02
1.534340000E+07,-8.88263E+01
1.538320000E+07,-9.50000E+01
1.538320000E+07,-8.83075E+01
1.542300000E+07,-9.77252E+01
1.542300000E+07,-8.97906E+01
1.546280000E+07,-9.97394E+01
1.546280000E+07,-8.93695E+01
1.550260000E+07,-9.92999E+01
